categoria,descripcion,imagen,marca,nombre,precio,sub_categoria,tipo_producto,url
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211847923/2018211847923_2.jpg,SONY,"SONY LED 49"" 4K Ultra HD Android Smart TV KD-49X755F LA8","S/ 4,499",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=3
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018216435071/2018216435071_2.jpg,LG,"LG SMART TV OLED 55"" 55B8SSC","S/ 7,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=2
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018215750373/2018215750373_2.jpg,SAMSUNG,"SAMSUNG SMART TV CURVO UHD 55"" NU7500","S/ 4,499",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=2
tecnologia,,//home.ripley.com.pe/Attachment/WOP_4/2018196951011/2018196951011_2.jpg,SONY,SONY HOME THEATER HT-RT40 660W,"S/ 1,599",tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_4/2018186988799/2018186988799_2.jpg,SONY,SONY HOME THEATER HT-RT3 5.1 - NEGRO,"S/ 1,199",tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018183239399/2018183239399_2.jpg,,MACROTEL CABLE HDMI 1.8MTS,S/ 19.90,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018183239405/2018183239405_2.jpg,,MACROTEL CABLE HDMI A HDMI MINI PROFESIONAL,S/ 12.90,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018186482907/2018186482907_2.jpg,,LG MINICOMPONENTE CJ88 2900W,"S/ 1,899",tv-video,equipo-de-sonido,https://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018209244017/2018209244017_2.jpg,SONY,SONY Equipo de Sonido MHC-M80 DVD/HDMI/Bluetooth/Karaoke/Party Light,"S/ 2,399",tv-video,equipo-de-sonido,https://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2065172977398/2065172977398_2.jpg,,PIONEER AUTO RADIO DEH-X3850UI - NEGRO,S/ 399,tv-video,car-audio,https://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2065172977619/2065172977619_2.jpg,,PIONEER PARLANTE DUAL PARA AUTO TS-G1645R 16CM - NEGRO,S/ 149,tv-video,car-audio,https://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?source=menu
tecnologia,,https://imageshack.com/a/img922/6424/3Ta6Cs.jpg,FIDDLER,FIDDLER AUDÍFONOS SPORT - AZUL,S/ 19.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,https://imageshack.com/a/img924/1710/dzqbZ0.jpg,FIDDLER,FIDDLER AUDÍFONO CON ESTUCHE KIDS - ROSA,S/ 17.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018210828350/2018210828350_2.jpg,SAMSUNG,"SAMSUNG SMART TV QLED 55"" CURVO QN55Q8CNAGXPE","S/ 8,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=3
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211815038/2018211815038_2.jpg,LG,"LG SMART TV UHD 70"" 70UK6550PSA","S/ 6,499",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=3
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018210828367/2018210828367_2.jpg,SAMSUNG,"SAMSUNG SMART TV QLED 55"" QN55Q7FNAGXPE","S/ 7,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=2
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018212725732/2018212725732_2.jpg,SAMSUNG,"SAMSUNG SMART TV QLED 55"" QN55Q6FNAGXPE","S/ 6,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=2
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018182733577/2018182733577_2.jpg,,LG HOME THEATER LHB675 1000W - NEGRO,"S/ 1,099",tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
